"Enroll, Female: Avg. ACT Math Score (Enrl F)","Enroll, Male: Avg. ACT Math Score (Enrl M)"
27.0,25.0
27.0,25.0
31.0,23.0
27.0,24.0
24.0,26.0
26.0,24.0
28.0,30.0
28.0,29.0
29.0,30.0
30.0,29.0
23.0,23.0
29.58,27.16
34.0,34.0
21.0,21.333000000000002
19.0,17.333
21.333000000000002,19.333
23.166999999999998,20.230999999999998
28.0,24.5
29.0,22.2
21.57,22.71
21.0,22.0
20.5,23.57
21.0,24.0
22.0,23.67
26.0,27.0
28.0,27.0
23.0,27.0
24.0,27.0
24.0,27.0
26.0,25.0
23.67,22.82
21.0,23.77
23.0,22.0
23.0,22.0
26.0,35.0
27.67,29.0
31.6,29.0
30.25,27.4
28.28,31.75
29.8,25.27
32.5,34.0
30.0,29.5
31.6667,32.8333
31.5,30.07
28.0,30.22
30.67,29.76
35.0,32.07
31.1667,32.9565
26.5,33.0
33.0,32.0
31.67,31.5
32.0,34.0
30.0,29.5
30.67,30.33
32.0,32.0
32.0,28.0
24.0,28.0
26.0,27.0
29.0,28.0
26.0,28.0
21.6,20.0
21.0,21.3
28.67,32.09
27.2,27.4
26.5,28.2
27.0,28.4
17.0,28.0
20.0,23.0
34.0,30.0
33.0,30.0
23.0,31.0
31.0,31.0
20.0,24.0
22.7,26.4
23.6,25.4
25.6,24.4
30.0,21.0
22.0,24.1
28.7,25.7
22.3,24.3
22.0,25.8
28.0,23.0
25.5,26.64
24.0,25.92
26.4,26.39
27.0,26.88
26.5,26.58
28.75,26.23
19.63,25.58
23.0,24.74
21.67,24.26
24.75,26.82
26.15,26.9
23.25,26.11
24.17,23.03
24.67,25.23
24.9,25.0
29.7,27.0
27.4,27.9
25.6,26.8
25.0,27.4
30.0,30.0
29.5,31.89
30.28,31.58
32.08,32.56
31.55,32.87
27.29,27.23
27.5,27.51
29.5,28.1
28.67,28.59
28.85,28.49
27.2,28.38
32.0,33.0
32.0,32.0
28.0,29.0
25.0,27.0
27.3,28.0
28.5,32.8
31.8,31.1
31.0,31.0
31.78,33.19
33.43,32.93
33.67,34.43
33.52,34.28
33.375,34.2364
20.4,20.7
20.7,20.4
31.74,33.17
25.83,26.02
23.89,26.32
25.27,26.04
24.4,24.3
23.0,24.0
26.0,25.0
25.0,25.0
26.0,25.0
25.0,24.0
22.0,25.0
26.0,29.0
26.0,28.0
25.0,28.0
27.0,28.0
30.67,32.38
31.3,28.8
28.9,30.6
29.6,29.9
29.4,30.0
27.6,30.3
29.2,30.1
20.0,26.5
25.6,25.5
24.9,25.6
32.0,33.0
23.0,33.0
25.0,26.0
24.0,28.0
27.0,27.0
26.0,26.0
26.0,25.0
27.0,25.0
31.0,30.0
29.0,34.0
27.0,27.0
30.0,30.0
28.0,25.0
29.0,30.0
31.0,29.0
28.0,29.0
29.0,30.0
29.0,29.0
29.8,30.6
29.5,31.2
29.5,29.9
29.3,30.4
30.9,30.0
23.5,25.35
23.0,27.61
23.8,25.38
23.75,26.74
24.79,25.61
29.3,31.0
29.0,29.0
28.0,28.0
27.0,28.0
27.0,26.0
24.0,26.0
21.6,20.0
21.0,21.3
20.4,20.7
20.7,20.4
23.0,25.0
23.0,27.0
25.0,26.0
24.0,27.0
28.0,27.0
33.0,32.0
28.0,27.6
29.0,27.26
26.0,26.53
33.0,25.93
26.5,27.71
27.0,27.09
22.67,24.73
23.0,24.0
24.5,24.35
22.8,25.44
18.0,26.6
25.7,28.1
28.9,27.7
26.7,26.6
30.0,27.8
26.3,28.4
27.5,26.8
25.4,27.8
32.0,31.0
30.0,30.0
29.6,27.8
29.5,31.7
29.3,31.5
23.5,27.14
24.5,26.8
24.0,27.7
24.0,27.1
27.5,27.2
27.3,27.6
27.0,27.0
29.0,27.0
25.0,27.0
21.6,20.0
21.0,21.3
31.0,30.0
28.0,30.0
17.0,21.333000000000002
22.857,23.3
23.857,22.563000000000002
22.1,21.409000000000002
24.5,21.938000000000002
28.0,28.21
32.5,26.3
27.0,26.94
23.0,26.28
29.4,28.1
29.0,27.8
28.8,27.8
26.1,27.4
28.3,28.2
24.5,27.3
25.2,27.8
30.0,31.0
28.0,32.0
24.0,27.0
25.0,27.0
20.0,26.0
26.0,27.0
18.0,23.0625
33.0,32.0
33.0,32.0
29.8,27.3
29.0,34.0
30.0,31.6
20.4,20.7
20.7,20.4
25.5,27.08
22.3,25.7
34.0,28.0
26.0,27.0
27.0,27.0
26.0,28.0
27.0,28.0
27.0,28.0
30.1,30.1
29.9,31.0
29.3,30.2
29.8,30.7
29.2,29.6
31.0,31.0
28.0,31.0
26.6,25.3
24.0,24.7
21.0,22.6
35.0,23.3
23.0,23.0
25.8,24.27
24.71,24.04
30.2,30.4
33.0,32.0
31.0,31.0
23.08,24.99
26.27,25.04
22.0,23.0
27.0,28.0
28.0,28.0
29.0,31.0
26.0,31.0
22.0,23.0
18.33,15.33
